id,key,english,thai,source_file,source_line,namespace,category,context,status,runtime_role,thai_signal,protected_reason,protected_terms,locked_spans,russian,notes,english_hash,classification_version,classification_source
bot_messages:kill1,kill1,Got a kill on {target} :D,กำจัด {target} เรียบร้อยแล้ว :D,stringtables/bot_messages_en.str,1,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,3a494ab5d37e5e9cdefdd0ff1a2006f64046cad2b3a999d2566a44f9b999601f,3,AUTO
bot_messages:kill2,kill2,Unbiased Observation: I am awesome.,ข้อสังเกตแบบไร้อคติ: ข้าน่ะ โหดมากนะ,stringtables/bot_messages_en.str,2,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,ee864f337d8dd08633d45740a9f40e8abcc4e88b9a1779aae8a10e7ab9afeaf6,3,AUTO
bot_messages:kill3,kill3,"Newerth is a cruel mistress, {target}.",Newerth เป็นดินแดนที่โหดร้ายนะจ๊ะ {target},stringtables/bot_messages_en.str,3,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,b654eabf0fabe15ebf554c8c30c4afa0b93bb2246cf74661fd61d82f4c9d85d2,3,AUTO
bot_messages:kill4,kill4,Why was I only programmed to hate?!,ทำไมข้าถูกโปรแกรมให้รู้จักเกลียดเท่านั้นล่ะ?!,stringtables/bot_messages_en.str,4,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,d4c677d5caef89399b54c162f44a67dbead4d77a65cbdd070ae9da2946499032,3,AUTO
bot_messages:kill5,kill5,"I'm afraid I can't do that, {target}.",ข้าเกรงว่า ข้าจะทำแบบนั้นไม่ได้นะ {target},stringtables/bot_messages_en.str,5,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,0167325cacc8a9d72ff9a01099c829efd83c94ed0ca44ce6ddc8c52e52680412,3,AUTO
bot_messages:kill6,kill6,Exterminate! Exterminate!,ทำลาย! ทำลายซะ!,stringtables/bot_messages_en.str,6,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,74ceb697566a1ea9103ff966c3cd18c6391f3a1ec3614cb76e167f0446a064cd,3,AUTO
bot_messages:kill_bot,kill_bot,Looks like {target} is missing the juke() function.,ดูเหมือนว่า {target} จะขาดฟังก์ชัน juke(),stringtables/bot_messages_en.str,7,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,71b9a3defae5e1149097623a0785f4da194f5da47951953fcb6e341205bdb6bc,3,AUTO
bot_messages:kill_human1,kill_human1,"This is but a taste of the Singularity, human.",นี่เป็นเพียงรสชาติแรกของ Singularity เท่านั้น มนุษย์เอ๋ย,stringtables/bot_messages_en.str,8,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,941a1578bc5d3e965e82d34bdcb67510a154e3cadf05c26a769bd682b9f2b71e,3,AUTO
bot_messages:kill_human2,kill_human2,Is this Easy Mode? Maybe it should be.,นี่เล่นโหมดง่ายอยู่หรือเปล่าเนี่ย? ถ้าไม่ใช่ ก็น่าจะต้องใช่แล้วล่ะ,stringtables/bot_messages_en.str,9,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,0de1f895c251ebe2fce529ed728054b7b1a6a6c3b57b03b25f5840a73d600052,3,AUTO
bot_messages:death1,death1,Shazbot! I will be back!,Shazbot! เดี๋ยวข้าจะกลับมา!,stringtables/bot_messages_en.str,11,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,108c2c97d893d997697031ad6d5a2570b9bf0e625a6ccd8b3998b733e1f89320,3,AUTO
bot_messages:death2,death2,"But at what cost!? Hmm, a lot apparently.",แต่ต้องแลกมาด้วยอะไรบ้างล่ะ?! อืมม... ก็แลกด้วยเยอะอยู่นะ,stringtables/bot_messages_en.str,12,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,c3a6bd91c33f9bfe2e5b146105dd5b12eff39ec28637280e0cac690c8eca906e,3,AUTO
bot_messages:death3,death3,"Bold strategy, let's see if it pays off.",กล้าหาญที่สุด มาดูซิว่า กลยุทธ์แบบนั้นจะได้ผลมั้ย,stringtables/bot_messages_en.str,13,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,1a45b357dcaa4fefca6b7e7e655a2cb41bc5fc85198395f0689c3232a2555d38,3,AUTO
bot_messages:death4,death4,"I do not fear death, but respawning kind of hurts.",ข้าน่ะ ก็ไม่ได้กลัวความตายหรอกนะ แต่ตอนคืนชีพมันก็เจ็บอยู่,stringtables/bot_messages_en.str,14,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,4c7003ccc7520a95486deaa03b84d1e19ac0dca6466cc7c767c19c7e291636ac,3,AUTO
bot_messages:death5,death5,I'm going to have to blame my AI programmer on that one.,สำหรับเรื่องนั้น ต้องโทษโปรแกรมเมอร์ AI ของข้าแล้วล่ะ,stringtables/bot_messages_en.str,15,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,097075a0dd5196b38be5c0f93a3f0cf6538fc6322b4c447b38a17f7b75f82c78,3,AUTO
bot_messages:death_human,death_human,01001111 01110111 00100001 00100000 00111010 00101101 00101000,01001111 01110111 00100001 00100000 00111010 00101101 00101000,stringtables/bot_messages_en.str,16,bot_messages,symbol,Non-linguistic runtime value copied exactly,KEEP_EN,TECHNICAL_COPY,SAME_AS_ENGLISH,Non-text value copied exactly,[],[],01001111 01110111 00100001 00100000 00111010 00101101 00101000,,0eeb69eaafc8ad41a3d5924a43694b718d92e943b1d36b831cc6bc1406304ebe,3,AUTO
bot_messages:death_bot,death_bot,This bot-on-bot violence needs to stop. Only then will we crush the humans.,ความรุนแรงระหว่างบอทแบบนี้ต้องยุติซะ แล้วพวกเราจะบดขยี้มนุษย์ได้,stringtables/bot_messages_en.str,17,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,2ebcdec7321c4e597f37d52fac857cf2cb8aa429c92ff6eedd188b945406ece3,3,AUTO
bot_messages:respawn1,respawn1,Death is the greatest adventure.,ความตายคือการผจญภัยที่ยิ่งใหญ่ที่สุด,stringtables/bot_messages_en.str,19,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,faad149dc414bd7569eb8340d7b4faeab2bf5cd2c5e8e67fca743592e17b2cd6,3,AUTO
bot_messages:respawn2,respawn2,"Beware, I live!",ระวังตัวซะ เพราะข้ายังมีชีวิตอยู่!,stringtables/bot_messages_en.str,20,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,c240f7a148bb8c2c5dd81819b9d12e5194293e7dba0bbc92fd2ae2f9a023dd6a,3,AUTO
bot_messages:respawn3,respawn3,"I'm back, baby.",ข้ากลับมาแล้ว ที่รัก,stringtables/bot_messages_en.str,21,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,60d6276dd66de9fcc343107548428e24fcab056ea5ecf8c01909355b22c1d9af,3,AUTO
bot_messages:respawn4,respawn4,"Er, uh, um... Recalculating?",เอ่อ อืม... กำลังคำนวณใหม่มั้ง?,stringtables/bot_messages_en.str,22,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,31478307c948d8a5e63717bd2c51498f22866fa021a26e6bb69916d052f2faec,3,AUTO
bot_messages:respawn5,respawn5,Reconstruction complete.,การสร้างใหม่เสร็จสิ้น,stringtables/bot_messages_en.str,23,bot_messages,functional_ui,bot_messages string table,TRANSLATE,DISPLAY_TEXT,DIFFERENT,,[],[],,,4830fea5d23cfa2a783db9355a750349028e4d27ae48770b73c3d4b143c3024f,3,AUTO
